0,1.8172e-05,1.8172e-05,3.3881317890172e-21
0.07,8.47851931467107e-05,1.82349362932115e-05,6.65502568534992e-05
0.14,0.0001015501703425,1.8414218144439e-05,8.31359521980608e-05
0.21,0.000106186713385818,1.86960728589796e-05,8.74906405268382e-05
0.28,0.000107910668694761,1.90692010450898e-05,8.88414676496717e-05
0.35,0.000108969674853341,1.95239438282146e-05,8.94457310251269e-05
0.42,0.000109908196320226,2.00516885781538e-05,8.98565077420721e-05
0.49,0.000110854539872336,2.06444467682578e-05,9.02100931040778e-05
0.56,0.000111835346445261,2.1294562196948e-05,9.05407842483128e-05
0.63,0.000112852374225812,2.19945222543978e-05,9.08578519714138e-05
0.7,0.000113901220599623,2.27368530532989e-05,9.11643675463245e-05
0.77,0.000114975895935237,2.35140833924477e-05,9.14618125427891e-05
0.84,0.000116069976208305,2.43187642274052e-05,9.17512119808997e-05
0.91,0.000117176947558012,2.51435306969035e-05,9.20334168611083e-05
0.98,0.000118290371832088,2.59811936414282e-05,9.23091781906595e-05
1.05,0.000119404017136239,2.6824847579392e-05,9.25791695568473e-05
1.12,0.000120511979384046,2.76679826904788e-05,9.28439966935673e-05
1.19,0.000121608793172947,2.85045896888851e-05,9.31042034840618e-05
1.26,0.000122689525282084,2.93292485352994e-05,9.33602767467845e-05
1.33,0.000123749844960468,3.01371945482348e-05,9.36126504122333e-05
1.4,0.00012478606760707,3.09243583373182e-05,9.38617092697514e-05
1.47,0.000125795171120042,3.16873787647819e-05,9.41077923552596e-05
1.54,0.000126774786576355,3.24235905547889e-05,9.43511960215663e-05
1.61,0.00012772316673118,3.31309900079428e-05,9.45921767232372e-05
1.68,0.000128639136987726,3.38081834443103e-05,9.48309535434157e-05
1.75,0.000129522033988768,3.44543235019331e-05,9.5067710486835e-05
1.82,0.000130371636911545,3.50690383507892e-05,9.53025985607561e-05
1.89,0.000131188096048921,3.5652358385556e-05,9.55357376633647e-05
1.96,0.00013197186248892,3.62046441917141e-05,9.57672182972059e-05
2.03,0.000132723621809233,3.67265186857273e-05,9.5997103123506e-05
2.1,0.000133444233802797,3.72188054311045e-05,9.62254283716922e-05
2.17,0.000134134679430315,3.76824743132904e-05,9.64522051170243e-05
2.24,0.000134796015506086,3.81185950681173e-05,9.66774204379687e-05
2.31,0.000135429337086061,3.85282986221673e-05,9.69010384638936e-05
2.38,0.000136035747140553,3.89127458179882e-05,9.71230013225644e-05
